a / an | =
alteration | ˌɑltǝˈrɛ:sɪǝn, [later] ˌɒl-
altered | ˈɑltǝɹd, [later] ˈɒl-
altering | ˈɑltrɪn, -ɪŋ, [later] ˈɒl-
Althea / ~’s | alˈtɛ:ǝ / -z
although | ɑ:lˈðo:, [later] ɔ:l-
altitude | ˈaltɪˌtju:d
altogether / ~s | m ɑ:ltǝˈgeðǝɹ, -ˈgɛ:ɹ, [later] ɔ:l- / -z
Alton | ˈɑ:ltǝn, [later] ˈɔ:l-
alway / ~s | ˈɑ:lwɛ:, [later] ˈɔ:l- / -z
am
- am | =
- I am | ǝɪm
Amaimon | ǝˈmamǝn
amain | ǝˈmɛ:n
a-making | ǝˈmɛ:kɪn, -ɪŋ
amaze / ~s | ǝˈmɛ:zɪz
amaze / ~s / ~th / ~d, abbr mazed | ǝˈmɛ:z / -ɪz / -ǝθ / -d, mɛ:zd
amazed, abbr mazed | m ǝˈmɛ:zd, -zɪd, abbr ˈmɛ:zɪd, mɛ:zd
amazedly | m ǝˈmɛ:zɪdˌlǝɪ, -dl-
amazedness | m ǝˈmɛ:zɪdˌnes, -dnǝs
amazement | ǝˈmɛ:zmǝnt
amazing | ǝˈmɛ:zɪn, -ɪŋ
Amazon / ~s | m ˈamǝˌzɒn, -ǝzǝn / -z
Amazonian | amǝˈzo:nɪǝn
ambassador / ~s | m amˈbasǝˌdɔ:ɹ, -sdǝɹ / -z
amber | ˈambǝɹ
amber-coloured | ˈambǝɹ-ˌkɤlǝɹd
ambiguit·y / ~ies | ambɪˈgju:ɪtǝɪz
ambiguous | amˈbɪgjǝs
ambition / ~’s / ~s | amˈbɪsɪǝn / -z
ambitious | amˈbɪsɪǝs
ambitiously | amˈbɪsɪǝslǝɪ
amble / ~s / ~d | =
ambling | ˈamblɪn, -ɪŋ
ambo | ˈambo:
ambuscado / ~s | ambǝsˈkɑ:do:z
ambush | =
ameer / ~s | ǝˈmi:ɹz
amen interj / | ɑ:ˈmen
amend / ~s / ~ed | ǝˈmend / -z / -dɪd
amending | ǝˈmendɪn, -ɪŋ
a-mending | ǝˈmendɪn, -ɪŋ
amendment | ǝˈmendmǝnt
amends | ǝˈmendz
amerce | ǝˈmɐ:ɹs
America | =
ames-ace | ˈɛ:mz-ˌas
amiable | m ˈɛ:mɪˌabǝl, -mɪǝb-
amid / ~st, abbr midst | =
Amiens | ˈamɪenz [2 sylls]
amiss | ǝˈmɪs
amit·y / ~ies | m ˈamɪˌtǝɪ, ˈamtǝɪ / ˈamɪˌtǝɪz
among, abbr mong | ǝˈmɤŋ, ǝˈmɒŋ, abbr mɤŋ, mɒŋ
amongst, abbr mongst | ǝˈmɤŋst, -mɒ-, [also, followed by a consonant] ǝˈmɤŋs, -mɒ-, abbr mɤ-, mɒ-
amorous | m ˈamrǝs, ˈamǝˌrɤs
amort | ǝˈmɔ:ɹt
amount / ~s | ǝˈmǝʊnt / -s
amour | aˈmu:ɹ
Amphimacus | m amˈfɪmǝˌkɤs
ample / ~er / ~est | = / ˈamplǝɹ / =
amplif·y LC / ~ied | m ˈamplɪˌfǝɪ / -d
amply | ˈamplǝɪ
Ampthill | ˈamtɪl
Amurath | m ˈamǝˌraθ, -ˌrat
Amyntas | ǝˈmɪntǝs
anatomize / ~d | m ǝˈnatǝˌmǝɪz, -ǝm-, Armado LLL 4.1.70 -ˈnɒt- / -d
anatomy | m ǝˈnatǝˌmǝɪ
ancestor / ~s | m ˈansǝsˌtɒɹ, -stǝɹ-, ˈɔ:n- / -z
ancestry | m ˈansǝsˌtrǝɪ, ˈɔ:n-
Anchises / ~’ | anˈkǝɪse:z
anchor / ~s | ˈaŋkǝɹ / -z
anchor / ~s / ~ed | ˈaŋkǝɹ / -z / -d
anchorage | ˈaŋkǝˌɹɪdʒ
anchoring | ˈaŋkrɪn, -ɪŋ, -kǝr-
anchov·y / ~ies | ˈantʃǝvǝɪz
ancient / ~est | ˈɛ:nsɪǝnt [2 sylls], ˈɔ:n-, [later] -nʃɪǝnt, / -ǝnst
ancient | m ˈɛ:nsɪǝnt [2 sylls], -ɪˌent, ˈɔ:n-, [later] -nʃɪǝnt / -s
ancientry | ˈɛ:nsɪǝntrǝɪ, -nʃǝn-, ˈɔ:n-
Ancus | ˈaŋkǝs
and
- and | =, unstr ǝnd, ǝn, n
- and his | unstr ǝnz
- and it abbr | unstr ant, ǝnt
andiron / ~s | ˈandǝɹnz
Andren | ˈandrǝn
Andrew | =
Andromache | m anˈdrɒmǝki:, -mki:
Andronici | m anˈdrɒnɪˌkǝɪ
Andronicus | m anˈdrɒnɪˌkɤs, -ɪkǝs, -ɒŋk-, Tit 1.1.23 ˌandrǝˈnǝɪkǝs
anew | =
ange / ~s | ɑ̃:ʒ
angel | ˈɛ:ndʒǝl
angel / ~’s / ~s / ~s’ | ˈɛ:ndʒǝl / -z
Angelica | =
angelical | ǝnˈdʒɛlɪˌkɑl
angel-like | ˈɛ:ndʒǝl-ˌlǝɪk
Angelo / ~’s | m ˈandʒǝˌlo:, -dʒlo: / -dʒǝˌlo:z
anger / ~-s | ˈaŋɡǝɹ / -z
anger / ~s / ~ing / ~ed | ˈaŋɡǝɹ / -z / ˈaŋɡrɪn, -ɪŋ / ˈaŋɡǝɹd
angered | ˈaŋɡǝɹd
angerly | m ˈaŋɡǝɹˌlǝɪ
Angiers | m ˈandʒɪǝɹz, anˈdʒi:ɹz
anglais | ɑ̃ˈglwɛ
angle | =
angl·e / ~ing / ~ed | = / ˈaŋɡlɪn, -ɪŋ / =
angler | ˈaŋɡlǝɹ
Angleterre | ɑ̃ɡlǝˈtɛ:ɹ
Angli·a / ~ae | ˈaŋɡlɪɛ:
angling | ˈaŋɡlɪn, -ɪŋ
angry | ˈaŋɡrǝɪ, m Tim 3.5.58 ˈaŋgǝˌrǝɪ
anguish | =
Angus | =
a-nights | ǝˈnǝɪts
animal / ~s | m ˈanɪmǝl, -ˌmɑl / -z
anim·us / ~is | ˈanɪmi:s
Anjou | m anˈdʒu:, ˈandʒu:, Fr ɑ̃ˈʒu:
ankle | =
Anna | =
annals | ˈanɑlz
Anne / ~’s | =
annex / ~ed | =
annexment | =
Annius | ˈanɪǝs
annoy | ǝˈnǝɪ
annoy / ~ing / ~ed | ǝˈnǝɪ / -ɪn, -ɪŋ / -d
annoyance, abbr noyance | ǝˈnǝɪǝns, abbr ˈnǝɪǝns
annual | m ˈanjɑl, -jʊɑl
anoint / ~ed, abbr nointed | ǝˈnǝɪnt / -ɪd, abbr ˈnǝɪntɪd
anointed | ǝˈnǝɪntɪd
anon | ǝˈnɒn, ǝˈno:n
another / ~’s | ǝˈnɤðǝɹ / -z
Anselm | =
answer / ~s | ˈansǝɹ, ˈɔ:n- / -z
answer / ~est / ~s / ~ing / ~ed | ˈansǝɹ, ˈɔ:n-, Le Beau AY 1.2.96 ˈɔ:nsǝɹ / -st / -z / m ˈansrɪn, -ɪŋ, -sǝˌrɪn, -ɪŋ, ˈɔ:n- / m ˈansǝɹd, -ǝˌred, ˈɔ:n-
answerable | m ˈansǝɹˌabǝl, -srǝ-, ˈɔ:n-
answering | m ˈansrɪn, -ɪŋ, -sǝˌr-, ˈɔ:n-
ant | =
Antenor | ǝnˈtenǝɹ
Antenorides | ˌantǝˈnɒrɪˌdi:z
anthem / ~s | ˈantǝm / -z
anthropophagi | ˌantrǝˈpɒfǝdʒǝɪ
anthropophaginian | ˌantrǝpɒfǝˈdʒɪnɪǝn
Antiat / ~s | m ˈansɪˌɛ:ts
anticipat·e / ~est / ~es / ~ing | anˈtɪsɪˌpɛ:t / -st / -s / -ɪn, -ɪŋ
anticipation | anˌtɪsɪˈpɛ:sɪǝn
antick / ~ed | anˈtɪkt
antidote / ~s | m ˈantɪˌdo:t / -s
Antigonus | m anˈtɪgǝˌnɤs, -ǝnǝs
Antiopa | m anˈtǝɪǝˌpa
antipathy | m anˈtɪpǝˌθǝɪ, -ˌtǝɪ
Antipholus | m anˈtɪfǝˌlɤs, -ǝlǝs
antipodes | m anˈtɪpǝˌdi:z, -ǝd-
antiquary | m ˈantɪˌkwarǝɪ
antique, antic | ˈantɪk
antique, antic / ~s | ˈantɪk
antiquely | ˈantɪklǝɪ
antiquity | anˈtɪkwɪˌtǝɪ, -ɪt-
Antium | ˈansɪǝm
Antoniad | m anˈto:nɪˌad
Antonio, Anthonio / ~’s | m anˈto:nɪˌo:, -nɪo:
Antonius | m anˈto:nɪˌɤs, -nɪǝs
Antony / ~’s | m ˈantǝˌnǝɪ, ˈantnǝɪ, anˈto:nǝɪ / -z
antre / ~s | ˈantǝɹz
anvil | =
any | ˈanǝɪ, ˈanɪ
anybody | ˈanɪbɒdǝɪ, Evans MW 3.3.198 ˈanɪpɒdǝɪ
anyone | m ˈanɪˌo:n, -ˌwɒn, -ɪo:n, -ɪwǝn
anything | m ˈanɪˌθɪn, -ɪŋ, -ɪθ-
anywhere | m ˈanɪˌʍɛ:ɹ, -ɪʍ-
apace | ǝˈpɛ:s
apart | ǝˈpaɹt
ape / ~s | ɛ:p / -s
ape-bearer | ˈɛ:p-ˌbɛ:ɹǝɹ
Apemantus | apɪˈmantǝs
Apennines | ˈapǝˌnǝɪnz
apiece | =
apish | ˈɛ:pɪʃ, ˈapɪʃ
Apollo / ~’s | ǝˈpɒlo: / -z
Apoll·o / ~inem | apǝˈlǝɪnem
Apollodorus | ǝˌpɒlǝˈdɔ:rǝs
apology | aˈpɒlǝˌdʒǝɪ, -ǝdʒ-
apoplexy | m ǝˈpɒplɪksǝɪ
apostle / ~s | =
apostrophus | ǝˈpɒstrǝfǝs
apothecary, abbr pothecary | m ǝˈpɒtǝˌkrǝɪ, -tkrǝɪ, abbr ˈpɒtǝˌkrǝɪ
appaid Luc | ǝˈpɛ:d
appal / ~s | ǝˈpɑ:l, -ˈpɔ:l / -z
appalled | ǝˈpɑ:ld, -ˈpɔ:ld
apparel, abbr parel | =, abbr ˈparǝl
apparel / ~led | =
apparent | =
apparently | m ǝˈparǝntˌlǝɪ
apparition / ~s | ˌapǝˈrɪsɪǝn / -z
appeach / ~ed | ǝˈpi:tʃ / -t
appeal | ǝˈpi:l
appeal / ~s / ~d | ǝˈpi:l / -z / -d
appear / ~s / ~eth / ~ing / ~ed | ǝˈpi:ɹ, -ˈpɛ:ɹ / -z / -ǝθ / -ɪn, -ɪŋ / -d
appearance | ǝˈpi:rǝns, -ˈpɛ:-
appearing | ǝˈpi:rɪn, -ɪŋ, -pɛ:-
appease / ~d | =
appeler / appelle / appel·ons / ~ez / ~é / ~ée / ~és | aˈpɛl / apˈlɔ̃, -pǝ-/ aˈplez, -pǝ- / aˈple
appellant / ~s | ǝˈpelǝnt, -ˈpi:- / -s
appendix | =
apperil | ǝˈperɪl
appertain / ~s / ~ing | ˌapǝɹˈtɛ:n / -z / -ɪn, -ɪŋ
appertaining | ˌapǝɹˈtɛ:nɪn, -ɪŋ
appertainment / ~s | ˌapǝɹˈtɛ:nmǝnts
appertinent | ǝˈpɐ:ɹtɪnǝnt
appertinent / ~s | m ǝˈpɐ:ɹtɪˌnents
appetite / ~s | m ˈapɪˌtǝɪt, -ɪt-, ˈaptǝɪt / -s
applaud / ~ing / ~ed | = / ǝˈplɔ:dɪn, -ɪŋ / =
applauding | ǝˈplɔ:dɪn, -ɪŋ
applause / ~s | =
apple / ~s | =
apple-john / ~s | =
appliance / ~s | m ǝˈplǝɪǝns, -lǝɪns / -lǝɪǝnˌsɪz
application / ~s | ˌaplɪˈkɛ:sɪǝnz
appl·y / ~ies / ~ied | ǝˈplǝɪ / -z / m -ɪd, ǝˈplǝɪd
appoint, abbr point / ~s / ~ed | ǝˈpǝɪnt, abbr pǝɪnt / -s / ˈpǝɪntɪd
appointment / ~s | ǝˈpǝɪntmǝnt / -s
apprehend / ~est / ~s / ~ed | ˌaprɪˈen·d, -ˈhe- / -st, -dst / -z, -dz / -dɪd
apprehension / ~s | m ˌaprɪˈensɪǝn, -ˈhe-, -sɪˌɒn / -z
apprehensive | ˌaprɪˈensɪv, -ˈhe-
apprendre / apprenne / appris | aˈprɑ̃:drǝ / aˈprɛn / aˈpri
approach / ~es | ǝˈpro:tʃ / -ɪz
approach / ~es / ~eth / ~ing / ~ed | ǝˈpro:tʃ / -ɪz / -ǝθ / -ɪn, -ɪŋ / -t
approacher / ~s | ǝˈpro:tʃǝɹz
approaching | ǝˈpro:tʃɪn, -ɪŋ
approbation | ˌaprǝˈbɛ:sɪǝn
approof | ǝˈprɤf, -ru:f
appropriation | ǝˌprɒprɪˈɛ:sɪǝn
approve / ~s / ~d | ǝˈprɤv, -ru:v / -z / m -d , -ɪd, -ru:-
approved | m ˈaprɤvd, ǝˈprɤvd, -rɤvɪd, -ru:-
approver / ~s | ǝˈprɤvǝɹz, -ru:-
appurtenance / ~s | m ǝˈpɐ:ɹtǝˌnans / -ɪz
a-praying | ǝˈprɛ:ɪn, -ɪŋ
apricock / ~s | ˈɛ:prɪˌkɒks
April | ˈɛ:prɪl
April / ~’s | ˈɛ:prɪl / -z
apron / ~s | ˈɛ:prǝn, 2H6 2.3.74 dialect form ˈɛ:pǝɹn / -z
apron-man / ~men | ˈɛ:prǝn-ˌmen
apt / ~er / ~est | = / ˈaptǝɹ / =
aptly | ˈaptlǝɪ
aptness | =
aqua-vitae | ˈakwǝ-ˌvi:tɛ:
Aquilon | ˈakwɪˌlɒn
Aquitaine | ˌakwɪˈtɛ:n, -ˈtɛn
Arabia | ǝˈrɛ:bɪǝ
Arabian | ǝˈrɛ:bɪǝn
araise | ǝˈrɛ:z
arbitrat·e / ~ing | m ˈɑ:ɹbɪˌtrɛ:t / -ɪn, -ɪŋ
arbitrator / Luc ~s | ˈɑ:ɹbɪˌtrɛ:tǝɹ / -z
arbitrement | ɑ:ɹˈbɪtrǝˌment, -tǝɹ-, -ǝmǝnt
arbour / ~s | ˈɑ:ɹbǝɹ / -z
Arc | ɑ:ɹk
arch | ɑ:ɹtʃ
arch / ~ed | m ɑ:ɹtʃt, ˈɑ:ɹtʃɪd
archbishop / ~’s / ~s | ɑ:ɹtʃˈbɪʃǝp / -s
archbishopric | ɑ:ɹtʃˈbɪʃǝpˌrɪk
archdeacon | m ˌɑ:ɹtʃdɪˈakǝn
arched | m ɑ:ɹtʃt, ˈɑ:ɹtʃɪd
Archelaus | ˌɑ:ɹkɪˈlɛ:ǝs
arch-enemy | m ˌɑ:ɹtʃ-ˈenǝˌmǝɪ
archer / ~s | ˈɑ:ɹtʃǝɹ / -z
archery | m ˈɑ:ɹtʃǝˌɹǝɪ
arch-heretic | m ˌɑ:ɹtʃ-ˈerɪˌtɪk, -ˈhe-
Archibald | ˌɑ:ɹtʃɪˈbɑ:ld
Archidamus | ˌɑ:ɹkɪˈdamǝs
architect | ˈɑ:ɹkɪˌtekt
arch-mock | ˌɑ:ɹtʃ-ˈmɒk
arch-one | ˈɑ:ɹtʃ-ˌo:n, ˈɑ:ɹtʃǝn
arch-villain | ˌɑ:ɹtʃ-ˈvɪlǝn
arc·us / ~u | ˈɑ:ɹku:
Arde | ɑ:ɹd
Arden | ˈɑ:ɹdǝn
ardent | ˈɑ:ɹdǝnt
ardour | ˈɑ:ɹdǝɹ, -du:ɹ
are
- are | str ɑ:ɹ, ɛ:ɹ, unstr ǝɹ, abbr ɹ
- they are abbr | ðɛ:ɹ, unstr ðɛɹ
- we are abbr | wɛ:ɹ
- you/ye are abbr | unstr jǝɹ, str jɑ:ɹ
a-repairing | ǝ-rɪˈpɛ:rɪn, -ɪŋ
argal | ɐ:ɹˈɡɑ:l, -ˈɡɔ:l
Argier | ɑɹˈdʒi:ɹ
argos·y / ~ies | ˈɑ:ɹgǝˌsǝɪ, -ǝs- / -z
argu·e / ~es / ~ing / ~ed | ˈɑ:ɹɡju: / -z / -ɪn, -ɪŋ / -d
arguing | m ˈɑ:ɹɡu:ɪn, -ɪŋ
argument / ~s | m ˈɑ:ɹɡǝˌment, -ɡment / -s
Argus | ˈɑ:ɹgǝs
Ariachne / ~’s | ˌarɪˈakni:z
Ariadne | ˌarɪˈadni:
Ariel | m ˈɛ:rɪǝl, ˈɛ:rɪˌel
Aries | ˈɛ:ri:z
aright | ǝˈrǝɪt
Arion | ǝˈrǝɪǝn
a-ripening | ǝˈrǝɪpnɪn, -ɪŋ, -pǝn-
arise / ~s / ~eth / arose | ǝˈrǝɪz / -ɪz / -ǝθ / ǝˈro:z
Aristotle / ~’s | ˈarɪstɒtl / -z
arithmetic | ǝˈrɪtmǝˌtɪk, -ǝt-
arithmetician | ǝˌrɪtmǝˈtɪsɪǝn
Ark | ɑ:ɹk
arm / ~’s / ~s | ɑ:ɹm, Fr H5 3.4.26 ɑ:ɹmǝ / -z
arm / ~s / ~ing / ~ed | ɑ:ɹm / -z / ˈɑ:ɹmɪn, -ɪŋ / m ˈɑ:ɹmɪd, ɑ:ɹmd
armado / ~es | ɐ:ɹˈmɑ:do: / -z
Armado / ~’s [name] | ɑ:ɹˈmɑ:ðo:, -ɑ:do:, abbr LLL 1.1.185 ɑ:ɹm
Armagnac | ˈɑ:ɹmɪˌnak
armed | m ɑ:ɹmd, ˈɑ:ɹmɪd
Armenia | ˈɑ:ɹmi:nɪǝ
arm-gaunt | ˈɑ:ɹm-ˌɡɔ:nt
armiger / ~o | ˈɑ:ɹmɪdʒro:
arming | ˈɑ:ɹmɪn, -ɪŋ
armipotent | ɑ:ɹˈmɪptǝnt, -pǝt-
armour / ~s | ˈɑ:ɹmǝɹ / -z
armourer / ~’s / ~s | m ˈɑ:ɹmǝˌrɐ:ɹ, -mrǝɹ / -rǝɹz / -mǝˌrɐ:ɹz
armoury | m ˈɑ:ɹmǝˌrǝɪ, -ǝr-
arm·y / ~ies | ˈɑ:ɹmǝɪ / -z
aroint | ǝˈrǝɪnt
a-rolling | ǝˈro:lɪn, -ɪŋ
arouse | ǝˈrǝʊz
a-row | ǝˈro:
Arragon | m ˈarǝˌɡɒn, -ǝɡǝn
arraign / ~ing / ~ed | ǝˈrɛ:n / -ɪn, -ɪŋ / -d
arraignment | ǝˈrɛ:nmǝnt
arrant | ˈarǝnt
arras | ˈarǝs
array | ǝˈrɛ:
array / ~ed | ǝˈrɛ: / -d
arrearage / ~s | ǝˈrɛ:rɪdʒɪz
arrest / ~s | =
arrest / ~s / ~ed | =
arrival | ǝˈrǝɪvɑl
arrivancy | m ǝˈrǝɪvǝnˌsǝɪ
arrive / ~s / ~ing / ~d | ǝˈrǝɪv / -z / -ɪn, -ɪŋ / m -d, -ɪd
arrogance | m ˈarǝˌɡans
arrogancy | m ˈarǝˌɡansǝɪ
arrogant | m ˈarǝˌɡant, -ǝɡǝnt, ˈɑ:ɹɡǝnt
arrow / ~s | ˈarǝ, ˈaro: / -z
art / ~s | ɑ:ɹt / -s
art | str ɑ:ɹt, unstr ǝɹt, abbr ɹt
Artemidorus | ɐ:ɹˌtemɪˈdɔ:rǝs
artere | ˈɑ:ɹtǝɹ
arter·y / ~ies | m ˈɑ:ɹtǝˌrǝɪz
Arthur / ~’s | ˈɑ:ɹtǝɹ / -z
article / ~s | m ˈɑ:ɹtɪkǝl, -ˌkɤl / -z
articulate / ~d | ɑ:ɹˈtɪkjǝˌlɛ:t / -ɪd
artificer | m ɑ:ɹˈtɪfɪˌsɐ:ɹ
artificial | ˌɑ:ɹtɪˈfɪsɪɑl
artillery | m ɑ:ɹˈtɪlǝˌrǝɪ, -lr-
artist / ~s | ˈɑ:ɹtɪst / -s
artless | ˈɑ:ɹtlǝs
Artois | m ɑ:ɹˈtwɛ, ˈɑ:ɹtwɛ, Eng -tǝɪz
arts-man | ˈɑ:ɹtsˌman
artus | ˈɑ:ɹtʊs
Arviragus | ˌɑ:ɹvɪˈraɡǝs
as | str az, unstr ǝz, Fluellen H5 5.1.4 as
as / ~es | ˈasɪz
Asaph | ˈasǝf
Ascanius | ǝˈskɛ:nɪǝs
ascend / ~s / ~ed | =
ascension | ǝˈsensɪǝn
Ascension Day | ǝˈsensɪǝn ˌdɛ:
ascent | =
ascribe / ~s | ǝˈskrǝɪb / -z
ash / ~es | =
a-shaking Luc | ǝˈʃɛ:kɪn, -ɪŋ
ashamed | m ǝˈʃɛ:md, -mɪd
Asher-house | ˈaʃǝɹ-ˌǝʊs, -ˌhǝʊs
Ashford | ˈaʃfǝɹd
ashore | ǝˈʃɔ:ɹ
a-shouting | ǝˈʃǝʊtɪn, -ɪŋ
Ash Wednesday | ˌaʃ ˈwensdɛ:
ashy | ˈaʃǝɪ
Asia | m ˈɛ:zɪǝ, -ɪˌa
aside | ǝˈsǝɪd
asinico | asɪˈni:ko:
ask / ~est / ~s / ~eth / ~ing / ~ed | ask / -st / -s / ˈask·ǝθ / -ɪn, -ɪŋ / askt
askance | ǝˈskɒns
asker | ˈaskǝɹ
asking | ˈaskɪn, -ɪŋ
aslant | ǝˈslant
asleep | ǝˈsli:p
a-sleeping | ǝˈsli:pɪn, -ɪŋ
Asmath | ˈazmat
aspect / ~s | ǝˈspekt / -s
aspen | =
aspersion | ǝˈspɐ:ɹsɪǝn
aspic / ~’s / ~s’ | ˈaspɪk / -s
aspicious [malap suspicious] | ǝˈspɪsɪǝs
aspiration | ˌaspɪˈrɛ:sɪǝn
aspire / ~d | ǝˈspǝɪɹ / -d
aspiring | ǝˈspǝɪrɪn, -ɪŋ
asquint | ǝˈskwɪnt
ass / ~’s / ~es n | =
assail / ~s / ~eth / ~ed | ǝˈsɛ:l / -z / -ǝθ / m -d, -ɪd
assailable | m ǝˈsɛ:lǝˌbɤl
assailant / ~s | ǝˈsɛ:lǝnt / -s
assailing | ǝˈsɛ:lɪn, -ɪŋ
assassination | ǝˈsasɪˌnɛ:sɪǝn
assault / ~s | ǝˈsɔ:t, -lt / -s
assault / ~s / ~ed | ǝˈsɔ:t, -lt / -s / -ɪd
assay / ~s | ǝˈsɛ: / -z
assay / ~s / ~ing / ~ed | ǝˈsɛ: / -z / -ɪn, -ɪŋ / -d
assemblance | =
assemble / ~d | =
assembled | =
assembl·y / ~ies | m ǝˈsemblǝɪ, -bǝˌlǝɪ / ǝˈsemblǝɪz
assent | =
assez | aˈsez
ass-head | ˈas-ˌed, -ˌhed
assign /~s | ǝˈsǝɪnz
assign / ~ed | ǝˈsǝɪn / ǝˈsǝɪnd
assigned | ǝˈsǝɪnd
assist / ~ing / ~ed | = / ǝˈsɪstɪn, -ɪŋ / =
assistance / ~s | ǝˈsɪstǝns / m -ˌsɪz
assistant / ~s | =
associate / ~s | ǝˈso:sɪǝts
associate / ~d | m ǝˈso:sɪɛ:t, -ˌɛ:t / -ˌɛ:tɪd
assuage / VA ~d | ǝˈswɛ:dʒ / -d
assubjugate | m ǝˈsɤbdʒǝˌgɛ:t
assume / ~s / ~d | ǝˈsju:m / -z / -d
assurance | ǝˈʃu:rǝns, ǝˈsju:-
assure / ~s / ~ed | ǝˈʃu:ɹ, ǝˈsju:ɹ / -z / m -d, -ɪd, ˈaʃu:ɹd, ˈasju:ɹd
assured | m ǝˈʃu:ɹd, ǝˈsju:-, ˈaʃu:ɹd, ˈasju:-
assuredly | m ǝˈʃu:ɹɪdˌlǝɪ, -ˈsju:-
Assyrian | =
astonish / ~ed | = / ǝˈstɒnɪʃt, S -ɪˌʃed
Astraea / ~’s | ˈastri:ǝ / -z
astray | ǝˈstrɛ:
astringer | ǝˈstrɪndʒǝɹ
astronomer / ~s | m ǝˈstrɒnǝˌmɐ:ɹ / -ǝmǝɹz
astronomy | m ǝˈstrɒnǝˌmǝɪ
asture [à cette heure] | aˈstyɹ
asunder | ǝˈsɤndǝɹ
at | =
Atalanta / ~’s | ˈatǝˌlantǝz
a-talking | ǝˈtɔ:kɪn, -ɪŋ
Ate / ~s | ˈɛ:ti: / -z
Athenian | m ǝˈti:nɪǝn, -ɪˌan
Athenian / ~’s ~s | m ǝˈti:nɪǝn, -ɪˌan / -z
Athens | ˈatǝnz
Atholl | ˈatǝl
athwart | ǝˈtwɑ:ɹt, ǝˈθ-
atilt | =
a-tiptoe | ǝˈtɪpto:
Atlas | =
atom·y / ~ies | m ˈatǝˌmǝɪz
atone | ǝˈto:n
atonement / ~s | ǝˈto:nmǝnt / -s
Atropos n | m ˈatrǝˌpɒs
attach / ~ed | = / m ǝˈtatʃt, -tʃɪd
attachment | =
attain | ǝˈtɛ:n
attain / ~s / ~ed | ǝˈtɛ:n / -z / -d
attainder | ǝˈtɛ:ndǝɹ
attaint | ǝˈtɛ:nt
attaint / ~ed | ǝˈtɛ:nt / -ɪd
attainture | ǝˈtɛ:ntǝɹ
attempt / ~s | ǝˈtemt, -mpt / -s
attempt / ~s / ~ing / ~ed | ǝˈtemt, -mpt / -s / -ɪn, -ɪŋ / -ɪd
attemptable | ǝˈtemtɪbǝl, -mpt-
attend, abbr tend / ~est / ~s / ~ eth / ~ing / ~ed | = / ǝˈtenst, -ndst / = / = / ǝˈtendɪn, -ɪŋ / =
attendance | =
attendant | =
attendant / ~s | =
attending | ǝˈtendɪn, -ɪŋ
attent | =
attention | ǝˈtensɪǝn
attentive | =
attentiveness | =
attest / ~ed | =
Attica | ˈatɪkǝ
attire / ~s | ǝˈtǝɪɹ / -z
attire / ~d | ǝˈtǝɪɹ / m -d, -ɪd
attorney / ~s | ǝˈtu:ɹnǝɪ / -z
attorney / ~ed | ǝˈtu:ɹnǝɪd
attorneyship | m ǝˈtu:ɹnǝɪˌʃɪp
attract / ~s | =
attraction | ǝˈtraksɪǝn
attractive | =
attribute / ~s | m ˈatrɪˌbju:t / -s, ˈatrɪbjǝts
attribute / ~d | ˈatrɪˌbju:tɪd
attribution | ˌatrɪˈbju:sɪǝn
a-turning PP | ǝˈtɐ:ɹnɪn, -ɪŋ
a-twain LC | ǝˈtwɛ:n
au | o
Aubrey | ˈɔ:brǝɪ
aucune | oˈkyn
audacious | ɔ:ˈdɛ:sɪǝs
audaciously | m ɔ:ˈdɛ:sɪǝsˌlǝɪ
audacity | m ɔ:ˈdasɪˌtǝɪ
audible | =
audience | =
aud·io / ~is | ˈǝʊdɪs
audit | =
auditor / ~s | m ˈɔ:dɪˌtɔ:ɹ / -z
auditory | m ˈɔ:dɪˌtrǝɪ, -ˌtɒr-
Audrey | ˈɔ:drǝɪ
Aufidius / ~s’ / ~es | ɔ:ˈfɪdɪǝs, aˈf- / -ɪz
aught | =
augment / ~ing / ~ed | = / ɔ:ɡˈmentɪn, -ɪŋ / =
augmentation | ˌɔ:ɡmǝnˈtɛ:sɪǝn
augmented | =
augur | ˈɔ:ɡǝɹ
augur / ~’s / ~s | ˈɔ:ɡǝɹz
augurer / ~s | m ˈɔ:ɡrǝɹ, -gǝˌrɐ:ɹ / -z
augur-hole | ˈɔ:ɡǝɹ-ˌo:l, -ˌho:-
auguring | m ˈɔ:ɡrɪn, -ɪŋ, -gǝr-
augur·y / ~ies | m ˈɔ:ɡrǝɪ, -ɡǝˌrǝɪ / -ɡǝˌrǝɪz
August | =
Augustus | ɔ:ˈɡɤstǝs
Aumerle | ɔ:ˈmɐ:ɹl
aunt / ~s | ˈɔ:nt / -s
aunt-mother | ˈɔ:nt-ˈmɤðǝɹ
auricular | ɔ:ˈrɪkjǝlǝɹ
Aurora / ~’s | ǝˈrɔ:rǝz
auspicious | ɔ:ˈspɪsɪǝs, malap MA 3.5.43 aˈ-
aussi | oˈsi
austere | m ɒˈsti:ɹ, ˈɒs-
austerely | ɒˈsti:ɹlǝɪ
austereness | ɒˈsti:ɹnǝs
austerity | m ɒˈsterɪˌtǝɪ
Austria / ~’s | ˈɒstrɪǝ / -z
aut | ɔ:t
authentic | ɔ:ˈtentɪk
author / ~’s / ~s | ˈɔ:tǝɹ / -z
